timestamp,Incident ID,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Actor type,Actor name,Details,Verified,Source,coordinate
1997-09-24T00:00:00Z,22,Ethiopia,Ogaden,,,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,0,1,Shooting,Individual attack,Unknown,8.53056,44.795,Unknown,Unknown,2 UN national staffers shot dead in apparent robbery attempt in Ogaden region Sept 24.,Archived,Archived,"POINT(8.530560000000001,44.795)"
1998-06-25T00:00:00Z,47,Ethiopia,Somali,,travelling from Gode to Degeh Bur,0,0,0,6,0,0,0,0,0,0,0,0,6,6,0,0,6,6,1,0,5,Kidnapping,Ambush,Road,7,44,Non-state armed group: Regional,Al-Itihaad al-Islamiya,"6 ICRC international staff (1 Swiss, 5 Somali) abducted when travelling from Gode to Degeh Bur in three marked vehicles on June 25. On July 3 the Islamic group al-Ittihad al-Islami claimed responsibility, stating that the hostages were under investigation.",Archived,Archived,"POINT(7.0,44.0)"
1999-04-01T00:00:00Z,73,Ethiopia,,,,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,9.145,40.489673,Unknown,Unknown,1 INGO international (French) staff kidnapped and later released,Archived,Archived,"POINT(9.145,40.489672999999996)"
2000-02-01T00:00:00Z,103,Ethiopia,,,,0,2,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,2,0,0,2,Unknown,Ambush,Unknown,9.145,40.489673,Unknown,Unknown,1 INGO national staff killed and 1 international staff wounded when vehicle ambushed.,Archived,Archived,"POINT(9.145,40.489672999999996)"
2006-09-20T00:00:00Z,475,Ethiopia,,,,0,0,0,2,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,2,Kidnapping,Unknown,Unknown,9.145,40.489673,Unknown,Unknown,"2 ICRC (1 international [Irish], 1 national) staff kidnapped, Sept 18; released unharmed on Sept 23.",Archived,Archived,"POINT(9.145,40.489672999999996)"
2008-01-01T00:00:00Z,782,Ethiopia,,,,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,3,Landmine ,Ambush,Road,9.145,40.489673,Unknown,Unknown,Three national staff of a local partner organization of an INGO were killed in a mine incident returning from an area they worked under a sub-grant.,Yes,Focal Point,"POINT(9.145,40.489672999999996)"
2008-07-01T00:00:00Z,793,Ethiopia,,,"Road, between Dire Dawa and Addis Ababa",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Ambush,Road,9.02497,38.74689,Unknown,Unknown,"1 UN national staff in Ethiopia was shot and injured by armed robbers on the road between Dire Dawa and Addis Ababa, while travelling on private business , 1 July 2008.",Yes,Focal Point,"POINT(9.02497,38.74689)"
2009-03-01T00:00:00Z,942,Ethiopia,Gode,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,Bodily assault,Mob violence,Unknown,5.9526975,43.5522312,Unknown,Unknown,1 UN national staff injured when her vehicle was attacked by civilians thowing stones.,Yes,Focal Point,"POINT(5.9526975,43.5522312)"
2010-01-03T00:00:00Z,964,Ethiopia,Gode,,,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily assault,Detention,Unknown,5.9526975,43.5522312,Host State,Ethiopian Defence Forces,1 UN national staff injured when physically assaulted by EDF military forces for carrying a VHF radio.,Yes,Focal Point,"POINT(5.9526975,43.5522312)"
2010-03-23T00:00:00Z,1069,Ethiopia,Oromiya,,Rayitu,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,Unknown,Mob violence,Road,8,39,Unaffiliated,Oromo clan ,A convoy of contracted trucks was attacked with rudimentary weapons by the Oromo clan and food looted while on the road through Oromo territory; two drivers were slightly injured.,Yes,Focal Point,"POINT(8.0,39.0)"
2010-06-18T00:00:00Z,1060,Ethiopia,Somali ,,Gerbo,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Combat/Crossfire,Unknown,7,44,Non-state armed group: National,Ogaden National Liberation Front (ONLF),Staff member (driver) was shot and injured in a cross fire between rebel Ogaden National Liberation Front (ONLF) fighters and Ethiopian Defence Forces (EDF).,Yes,Focal Point,"POINT(7.0,44.0)"
2011-05-13T00:00:00Z,1102,Ethiopia,Ogaden,,Near Jijiga,4,0,0,0,0,0,1,1,2,4,0,0,0,0,1,1,2,4,1,0,3,Kidnapping,Ambush,Unknown,8.53056,44.795,Unknown,Unknown,"One UN driver was killed, another staff wounded, and two staff captured when their UN agency vehicle was attacked by gunmen, in an area where pro-government forces are engaged in counter-insurgency operations against the ONLF. Each side blamed the other for the attack. UPDATE: the 2 kidnapped individuals were released on 30 June.",Pending,Media,"POINT(8.530560000000001,44.795)"
2011-08-05T00:00:00Z,1281,Ethiopia,Somali,Ethiopia,Kebridehar,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Other Explosives,Raid,Public location,6.74,44.27806,Unknown,Unknown,A UN national staff member was injured in a grenade attack in a restaurant in Kebridehar.,Pending,Archived,"POINT(6.74,44.278059999999996)"
2012-10-28T00:00:00Z,1479,Ethiopia,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Bodily assault,Individual attack,Unknown,9.145,40.489673,Unknown,Unknown,One national INGO staff member was assaulted by a gang armed with crude weapons.,Yes,Focal Point,"POINT(9.145,40.489672999999996)"
2013-07-22T00:00:00Z,1713,Ethiopia,Somali ,,"Ogaden, Degehabur",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,Public location,8.218894,43.557972,Non-state armed group: Unknown,Not applicable,One UN-contracted warehouse worker was shot and killed by armed men suspected to be part of an insurgent group.,Yes,Focal Point,"POINT(8.218894,43.557972)"
2013-10-29T00:00:00Z,1689,Ethiopia,Somali ,,Boqolmayo,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily assault,Individual attack,Unknown,4.482944,41.664859,Non-state armed group: Unknown,Not applicable,One INGO staff member was abducted and very severely beaten by three armed militia men. The attack may be related to tribal politics.,Yes,Focal Point,"POINT(4.482944,41.664859)"
2014-06-09T00:00:00Z,1931,Ethiopia,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Unknown,Unknown,Unknown,9.145,40.489673,Non-state armed group: Unknown,Not applicable,IED attack. The attack wounded one male national staff worker. No further information is available.,Yes,Focal Point,"POINT(9.145,40.489672999999996)"
2014-08-07T00:00:00Z,1924,Ethiopia,Gambella,,"Camp, Kule refugee camp, 31 miles from Pagak",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily assault,Individual attack,Project site,8.466667,34.033333,Unknown,Unknown,"An INGO driver and two passengers in a water supply truck were attacked en-route within their project site when they stopped. A group of people on the road attacked them after an altercation, which resulted in the physical assault of the passenger. The driver and secondary passenger managed to run away with minor injuries (not counted here).",Yes,Focal Point,"POINT(8.466667,34.033333)"
2014-08-09T00:00:00Z,1923,Ethiopia,Gambella,,"Camp, Kule refugee camp, 31 miles from Pagak",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily assault,Individual attack,Project site,8.466667,34.033333,Unaffiliated,Youths,An INGO driver was assaulted by 5 youths after getting out of his truck to apologise for splashing someone when driving past.,Yes,Focal Point,"POINT(8.466667,34.033333)"
2014-12-11T00:00:00Z,1934,Ethiopia,,,Addis Ababa,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,Bodily assault,Individual attack,Public location,8.980603,38.757761,Unknown,Unknown,Three assailants armed with stones attacked an international staff member and robbed him. The staff member was hospitalzed as a result of his injuries.,Yes,Focal Point,"POINT(8.980603,38.757761)"
2015-02-11T00:00:00Z,2143,Ethiopia,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Bodily assault,Unknown,Unknown,9.145,40.489673,Unknown,Unknown,"One INGO male national staff member was assaulted. The circumstances around this incident are unknown. However, the man suffered a concussion and an injury to his ear.",Yes,Focal Point,"POINT(9.145,40.489672999999996)"
2015-09-28T00:00:00Z,2135,Ethiopia,Addis Ababa,,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,Bodily assault,Individual attack,Road,8.980603,38.757761,Unknown,Unknown,"An international staff member was attacked and hit with a stone on the head by two young men. He was rendered unconscious for a brief moment at which time the assailants stole his valuables. After returning to his guest house in the same area, the owner took him to the hospital where the wound on his head was stitched up. He remained in the hospital.",Yes,Focal Point,"POINT(8.980603,38.757761)"
